INPUT,/a̯bajtum/,/isʕatum/,/isʕatum/,/isʕum/,/ʔajjum/,/ʔarnabum/,/ʔarbaʕum/,/ʔarbaʕtum/,/ʔanta/,/ʔantumuː/,/ʔanti/,/ʔantinaː/,/ʔabwum/,/ʔamsum/,/ʔimmum/,/ʔubhaːnum/,/hadadum/,/ħajqum/,/ħamθum/,/ʕaθˀmatum/,/ʕaːda/,/ʕaɬarum/,/ʕaɬaratum/,/ʕaɬaratum/,/ʕaɬarum/,/ʕumaːnu/,/qabara/,/χasara/,/χamˈisum/,/χˈamisum/,/ʁarapa/,/ʁapara/,/ʁurajbum/,/ʁaːribum/,/ʁuraːbum/,/ʁurabum/,/waʕilum/,/wakaba/,/warχum/,/kawana/,/kasapa/,/kariɬum/,/kalbum/,/kappum/,/kabkabum/,/kuttaːnum/,/ɡildum/,/jawmum/,/jibakki/,/jimallik/,/sapila/,/sabatˀa/,/sabʕum/,/sabʕatum/,/samiʕa/,/sawqaʕa/,/suʔa/,/sumuː/,/siʔa/,/sidθum/,/sidθˈatum/,/sinaː/,/sinatum/,/simum/,/zaraqa/,/zapana/,/zamanum/,/tajsum/,/tˀiːnum/,/damara/,/t͡sˀadiqum/,/t͡sˀamiʕa/,/t͡sˀuriħa/,/ɬˀabatˀum/,/ɬahrum/,/ɬajbum/,/ɬalaːθatum/,/ɬalaːθum/,/ɬaraqum/,/ɬuːrum/,/labanum/,/lisanum/,/raħatum/,/raħala/,/rapaqatum/,/raʔsum/,/nahaqa/,/naχiːrum/,/nasaja/,/nasrum/,/napaχa/,/θˀiprum/,/θamaːnijatum/,/θamaːnijum/,/θinatum/,/θinajum/,/θinataːni/,/ðakara/,/ðakkum/,/ðanabum/,/paħasa/,/paħalum/,/patana/,/parasum/,/parθ/,/palaɡum/,/baʕlum/,/baʕlatum/,/basala/,/baraqum/,/maħasa/,/mawuta/,/maraɬa/,/marrara/,/midrum/,/mina/
R0,/a̯bajtu/,/isʕatu/,/isʕatu/,/isʕu/,/ʔajju/,/ʔarnabu/,/ʔarbaʕu/,/ʔarbaʕtu/,,,,,/ʔabwu/,/ʔamsu/,/ʔimmu/,/ʔubhaːnu/,/hadadu/,/ħajqu/,/ħamθu/,/ʕaθˀmatu/,,/ʕaɬaru/,/ʕaɬaratu/,/ʕaɬaratu/,/ʕaɬaru/,,,,/χamˈisu/,/χˈamisu/,,,/ʁurajbu/,/ʁaːribu/,/ʁuraːbu/,/ʁurabu/,/waʕilu/,,/warχu/,,,/kariɬu/,/kalbu/,/kappu/,/kabkabu/,/kuttaːnu/,/ɡildu/,/jawmu/,,,,,/sabʕu/,/sabʕatu/,,,,,,/sidθu/,/sidθˈatu/,,/sinatu/,/simu/,,,/zamanu/,/tajsu/,/tˀiːnu/,,/t͡sˀadiqu/,,,/ɬˀabatˀu/,/ɬahru/,/ɬajbu/,/ɬalaːθatu/,/ɬalaːθu/,/ɬaraqu/,/ɬuːru/,/labanu/,/lisanu/,/raħatu/,,/rapaqatu/,/raʔsu/,,/naχiːru/,,/nasru/,,/θˀipru/,/θamaːnijatu/,/θamaːniju/,/θinatu/,/θinaju/,,,/ðakku/,/ðanabu/,,/paħalu/,,/parasu/,,/palaɡu/,/baʕlu/,/baʕlatu/,,/baraqu/,,,,,/midru/,
R1,,,,,/ajju/,/arnabu/,/arbaʕu/,/arbaʕtu/,/anta/,/antumuː/,/anti/,/antinaː/,/abwu/,/amsu/,/immu/,/ubhaːnu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/sua/,,/sia/,,,,,,,,,,,,,,,,,,,,,,,,,,,/rasu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,/a̯bˈajtu/,/isʕˈatu/,/isʕˈatu/,/ˈisʕu/,/ˈajju/,/arnˈabu/,/arbˈaʕu/,/arbˈaʕtu/,/ˈanta/,/antˈumuː/,/ˈanti/,/antˈinaː/,/ˈabwu/,/ˈamsu/,/ˈimmu/,/ubhˈaːnu/,/hadˈadu/,/ħˈajqu/,/ħˈamθu/,/ʕaθˀmˈatu/,/ʕˈaːda/,/ʕaɬˈaru/,/ʕaɬarˈatu/,/ʕaɬarˈatu/,/ʕaɬˈaru/,/ʕumˈaːnu/,/qabˈara/,/χasˈara/,,/χˈamˈisu/,/ʁarˈapa/,/ʁapˈara/,/ʁurˈajbu/,/ʁaːrˈibu/,/ʁurˈaːbu/,/ʁurˈabu/,/waʕˈilu/,/wakˈaba/,/wˈarχu/,/kawˈana/,/kasˈapa/,/karˈiɬu/,/kˈalbu/,/kˈappu/,/kabkˈabu/,/kuttˈaːnu/,/ɡˈildu/,/jˈawmu/,/jibˈakki/,/jimˈallik/,/sapˈila/,/sabˈatˀa/,/sˈabʕu/,/sabʕˈatu/,/samˈiʕa/,/sawqˈaʕa/,/sˈua/,/sˈumuː/,/sˈia/,/sˈidθu/,,/sˈinaː/,/sinˈatu/,/sˈimu/,/zarˈaqa/,/zapˈana/,/zamˈanu/,/tˈajsu/,/tˀˈiːnu/,/damˈara/,/t͡sˀadˈiqu/,/t͡sˀamˈiʕa/,/t͡sˀurˈiħa/,/ɬˀabˈatˀu/,/ɬˈahru/,/ɬˈajbu/,/ɬalaːθˈatu/,/ɬalˈaːθu/,/ɬarˈaqu/,/ɬˈuːru/,/labˈanu/,/lisˈanu/,/raħˈatu/,/raħˈala/,/rapaqˈatu/,/rˈasu/,/nahˈaqa/,/naχˈiːru/,/nasˈaja/,/nˈasru/,/napˈaχa/,/θˀˈipru/,/θamaːnijˈatu/,/θamaːnˈiju/,/θinˈatu/,/θinˈaju/,/θinatˈaːni/,/ðakˈara/,/ðˈakku/,/ðanˈabu/,/paħˈasa/,/paħˈalu/,/patˈana/,/parˈasu/,,/palˈaɡu/,/bˈaʕlu/,/baʕlˈatu/,/basˈala/,/barˈaqu/,/maħˈasa/,/mawˈuta/,/marˈaɬa/,/marrˈara/,/mˈidru/,/mˈina/
R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/mina/
R4,/a̯bˈajtə/,/əsʕˈatə/,/əsʕˈatə/,/ˈisʕə/,/ˈajjə/,/ərnˈabə/,/ərbˈaʕə/,/ərbˈaʕtə/,/ˈantə/,/əntˈumə/,/ˈantə/,/əntˈinə/,/ˈabwə/,/ˈamsə/,/ˈimmə/,/əbhˈaːnə/,/hədˈadə/,/ħˈajqə/,/ħˈamθə/,/ʕəθˀmˈatə/,/ʕˈaːdə/,/ʕəɬˈarə/,/ʕəɬərˈatə/,/ʕəɬərˈatə/,/ʕəɬˈarə/,/ʕəmˈaːnə/,/qəbˈarə/,/χəsˈarə/,/χəmˈisə/,/χˈamˈisə/,/ʁərˈapə/,/ʁəpˈarə/,/ʁərˈajbə/,/ʁərˈibə/,/ʁərˈaːbə/,/ʁərˈabə/,/wəʕˈilə/,/wəkˈabə/,/wˈarχə/,/kəwˈanə/,/kəsˈapə/,/kərˈiɬə/,/kˈalbə/,/kˈappə/,/kəbkˈabə/,/kəttˈaːnə/,/ɡˈildə/,/jˈawmə/,/jəbˈakkə/,/jəmˈallək/,/səpˈilə/,/səbˈatˀə/,/sˈabʕə/,/səbʕˈatə/,/səmˈiʕə/,/səwqˈaʕə/,/sˈuə/,/sˈumə/,/sˈiə/,/sˈidθə/,/sədθˈatə/,/sˈinə/,/sənˈatə/,/sˈimə/,/zərˈaqə/,/zəpˈanə/,/zəmˈanə/,/tˈajsə/,/tˀˈiːnə/,/dəmˈarə/,/t͡sˀədˈiqə/,/t͡sˀəmˈiʕə/,/t͡sˀərˈiħə/,/ɬˀəbˈatˀə/,/ɬˈahrə/,/ɬˈajbə/,/ɬələθˈatə/,/ɬəlˈaːθə/,/ɬərˈaqə/,/ɬˈuːrə/,/ləbˈanə/,/ləsˈanə/,/rəħˈatə/,/rəħˈalə/,/rəpəqˈatə/,/rˈasə/,/nəhˈaqə/,/nəχˈiːrə/,/nəsˈajə/,/nˈasrə/,/nəpˈaχə/,/θˀˈiprə/,/θəmənəjˈatə/,/θəmənˈijə/,/θənˈatə/,/θənˈajə/,/θənətˈaːnə/,/ðəkˈarə/,/ðˈakkə/,/ðənˈabə/,/pəħˈasə/,/pəħˈalə/,/pətˈanə/,/pərˈasə/,/pərθ/,/pəlˈaɡə/,/bˈaʕlə/,/bəʕlˈatə/,/bəsˈalə/,/bərˈaqə/,/məħˈasə/,/məwˈutə/,/mərˈaɬə/,/mərrˈarə/,/mˈidrə/,/mənə/
R5,/a̯bˈajt/,/əsʕˈat/,/əsʕˈat/,/ˈisʕ/,/ˈajj/,/ərnˈab/,/ərbˈaʕ/,/ərbˈaʕt/,/ˈant/,/əntˈum/,/ˈant/,/əntˈin/,/ˈabw/,/ˈams/,/ˈimm/,/əbhˈaːn/,/hədˈad/,/ħˈajq/,/ħˈamθ/,/ʕəθˀmˈat/,/ʕˈaːd/,/ʕəɬˈar/,/ʕəɬərˈat/,/ʕəɬərˈat/,/ʕəɬˈar/,/ʕəmˈaːn/,/qəbˈar/,/χəsˈar/,/χəmˈis/,/χˈamˈis/,/ʁərˈap/,/ʁəpˈar/,/ʁərˈajb/,/ʁərˈib/,/ʁərˈaːb/,/ʁərˈab/,/wəʕˈil/,/wəkˈab/,/wˈarχ/,/kəwˈan/,/kəsˈap/,/kərˈiɬ/,/kˈalb/,/kˈapp/,/kəbkˈab/,/kəttˈaːn/,/ɡˈild/,/jˈawm/,/jəbˈakk/,,/səpˈil/,/səbˈatˀ/,/sˈabʕ/,/səbʕˈat/,/səmˈiʕ/,/səwqˈaʕ/,/sˈu/,/sˈum/,/sˈi/,/sˈidθ/,/sədθˈat/,/sˈin/,/sənˈat/,/sˈim/,/zərˈaq/,/zəpˈan/,/zəmˈan/,/tˈajs/,/tˀˈiːn/,/dəmˈar/,/t͡sˀədˈiq/,/t͡sˀəmˈiʕ/,/t͡sˀərˈiħ/,/ɬˀəbˈatˀ/,/ɬˈahr/,/ɬˈajb/,/ɬələθˈat/,/ɬəlˈaːθ/,/ɬərˈaq/,/ɬˈuːr/,/ləbˈan/,/ləsˈan/,/rəħˈat/,/rəħˈal/,/rəpəqˈat/,/rˈas/,/nəhˈaq/,/nəχˈiːr/,/nəsˈaj/,/nˈasr/,/nəpˈaχ/,/θˀˈipr/,/θəmənəjˈat/,/θəmənˈij/,/θənˈat/,/θənˈaj/,/θənətˈaːn/,/ðəkˈar/,/ðˈakk/,/ðənˈab/,/pəħˈas/,/pəħˈal/,/pətˈan/,/pərˈas/,,/pəlˈaɡ/,/bˈaʕl/,/bəʕlˈat/,/bəsˈal/,/bərˈaq/,/məħˈas/,/məwˈut/,/mərˈaɬ/,/mərrˈar/,/mˈidr/,/mən/
R6,/abˈajt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=Proto-Mehri-Jibbali,null/abˈajt/,null/əsʕˈat/,null/əsʕˈat/,null/ˈisʕ/,null/ˈajj/,null/ərnˈab/,null/ərbˈaʕ/,null/ərbˈaʕt/,null/ˈant/,null/əntˈum/,null/ˈant/,null/əntˈin/,null/ˈabw/,null/ˈams/,null/ˈimm/,null/əbhˈaːn/,null/hədˈad/,null/ħˈajq/,null/ħˈamθ/,null/ʕəθˀmˈat/,null/ʕˈaːd/,null/ʕəɬˈar/,null/ʕəɬərˈat/,null/ʕəɬərˈat/,null/ʕəɬˈar/,null/ʕəmˈaːn/,null/qəbˈar/,null/χəsˈar/,null/χəmˈis/,null/χˈamˈis/,null/ʁərˈap/,null/ʁəpˈar/,null/ʁərˈajb/,null/ʁərˈib/,null/ʁərˈaːb/,null/ʁərˈab/,null/wəʕˈil/,null/wəkˈab/,null/wˈarχ/,null/kəwˈan/,null/kəsˈap/,null/kərˈiɬ/,null/kˈalb/,null/kˈapp/,null/kəbkˈab/,null/kəttˈaːn/,null/ɡˈild/,null/jˈawm/,null/jəbˈakk/,null/jəmˈallək/,null/səpˈil/,null/səbˈatˀ/,null/sˈabʕ/,null/səbʕˈat/,null/səmˈiʕ/,null/səwqˈaʕ/,null/sˈu/,null/sˈum/,null/sˈi/,null/sˈidθ/,null/sədθˈat/,null/sˈin/,null/sənˈat/,null/sˈim/,null/zərˈaq/,null/zəpˈan/,null/zəmˈan/,null/tˈajs/,null/tˀˈiːn/,null/dəmˈar/,null/t͡sˀədˈiq/,null/t͡sˀəmˈiʕ/,null/t͡sˀərˈiħ/,null/ɬˀəbˈatˀ/,null/ɬˈahr/,null/ɬˈajb/,null/ɬələθˈat/,null/ɬəlˈaːθ/,null/ɬərˈaq/,null/ɬˈuːr/,null/ləbˈan/,null/ləsˈan/,null/rəħˈat/,null/rəħˈal/,null/rəpəqˈat/,null/rˈas/,null/nəhˈaq/,null/nəχˈiːr/,null/nəsˈaj/,null/nˈasr/,null/nəpˈaχ/,null/θˀˈipr/,null/θəmənəjˈat/,null/θəmənˈij/,null/θənˈat/,null/θənˈaj/,null/θənətˈaːn/,null/ðəkˈar/,null/ðˈakk/,null/ðənˈab/,null/pəħˈas/,null/pəħˈal/,null/pətˈan/,null/pərˈas/,null/pərθ/,null/pəlˈaɡ/,null/bˈaʕl/,null/bəʕlˈat/,null/bəsˈal/,null/bərˈaq/,null/məħˈas/,null/məwˈut/,null/mərˈaɬ/,null/mərrˈar/,null/mˈidr/,null/mən/
R7,,/əsʕˈaːt/,/əsʕˈaːt/,,,,,,,,,,,,,,,,,/ʕaː̈θˀmˈat/,,/ʕaː̈ɬˈar/,/ʕaː̈ɬərˈat/,/ʕaː̈ɬərˈat/,/ʕaː̈ɬˈar/,/ʕaː̈mˈaːn/,,,,,,,,,,,/wəʕˈaːl/,,,,,,,,,,,,,,,,,/səbʕˈaːt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
