etID  | Input | Proto-Mehri-Jibbali | Output {GOLD}
0      | #a̯bajtum# | #abˈajt# | #abajt# {GOLD: #abajt#}
1      | #isʕatum# | #əsʕˈat# | #əsaːt# {GOLD: #səʕajt#}
2      | #isʕatum# | #əsʕˈat# | #əsaːt# {GOLD: #sajt#}
3      | #isʕum# | #ˈisʕ# | #is# {GOLD: #sɛː#}
4      | #ʔajjum# | #ˈajj# | #ajj# {GOLD: #ej#}
5      | #ʔarnabum# | #ərnˈab# | #ərnab# {GOLD: #ħarnˈajb#}
6      | #ʔarbaʕum# | #ərbˈaʕ# | #ərba# {GOLD: #arba#}
7      | #ʔarbaʕtum# | #ərbˈaʕt# | #ərbat# {GOLD: #ərboːt#}
8      | #ʔanta# | #ˈant# | #ant# {GOLD: #heːt#}
9      | #ʔantumuː# | #əntˈum# | #əntum# {GOLD: #əteːm#}
10     | #ʔanti# | #ˈant# | #ant# {GOLD: #heːt#}
11     | #ʔantinaː# | #əntˈin# | #əntin# {GOLD: #əteːn#}
12     | #ʔabwum# | #ˈabw# | #abw# {GOLD: #ħajb#}
13     | #ʔimmum# | #ˈimm# | #imm# {GOLD: #ħaːm#}
14     | #ʔubhaːnum# | #əbhˈaːn# | #əbhaːn# {GOLD: #haːbˈeːn#}
15     | #hadadum# | #hədˈad# | #hədad# {GOLD: #həd#}
16     | #ħajqum# | #ħˈajq# | #ħajq# {GOLD: #ħajq#}
17     | #ħamθum# | #ħˈamθ# | #ħamθ# {GOLD: #ħamθ#}
18     | #ʕaθˀmatum# | #ʕəθˀmˈat# | #aː̈θˀmat# {GOLD: #ʔaːðˀəmeːt#}
19     | #ʕaːda# | #ʕˈaːd# | #aːd# {GOLD: #ʔaːd#}
20     | #ʕaɬarum# | #ʕəɬˈar# | #aː̈ɬar# {GOLD: #oːɬər#}
21     | #ʕaɬaratum# | #ʕəɬərˈat# | #aː̈ɬərat# {GOLD: #aːɬəriːt#}
22     | #ʕaɬaratum# | #ʕəɬərˈat# | #aː̈ɬərat# {GOLD: #aːɬəriːθ#}
23     | #ʕaɬarum# | #ʕəɬˈar# | #aː̈ɬar# {GOLD: #oːɬər#}
24     | #ʕumaːnu# | #ʕəmˈaːn# | #aː̈maːn# {GOLD: #aːmoːn#}
25     | #qabara# | #qəbˈar# | #qəbar# {GOLD: #qəbuːr#}
26     | #χasara# | #χəsˈar# | #χəsar# {GOLD: #χəsoːr#}
27     | #χamˈisum# | #χəmˈis# | #χəmis# {GOLD: #χəmoːh#}
28     | #χˈamisum# | #χˈamˈis# | #χamis# {GOLD: #χˈajməh#}
29     | #ʁarapa# | #ʁərˈap# | #ʁərap# {GOLD: #ʁaroːf#}
30     | #ʁurajbum# | #ʁərˈajb# | #ʁərajb# {GOLD: #ʁərˈajb#}
31     | #ʁaːribum# | #ʁərˈib# | #ʁərib# {GOLD: #ʁərˈajb#}
32     | #ʁuraːbum# | #ʁərˈaːb# | #ʁəraːb# {GOLD: #ʁərˈajb#}
33     | #ʁurabum# | #ʁərˈab# | #ʁərab# {GOLD: #ʁərˈajb#}
34     | #waʕilum# | #wəʕˈil# | #wəaːl# {GOLD: #waːl#}
35     | #wakaba# | #wəkˈab# | #wəkab# {GOLD: #wəkoːb#}
36     | #warχum# | #wˈarχ# | #warχ# {GOLD: #warχ#}
37     | #kawana# | #kəwˈan# | #kəwan# {GOLD: #kaːn#}
38     | #kasapa# | #kəsˈap# | #kəsap# {GOLD: #kəsoːb#}
39     | #kariɬum# | #kərˈiɬ# | #kəriɬ# {GOLD: #kiːrəɬ#}
40     | #kalbum# | #kˈalb# | #kalb# {GOLD: #koːb#}
41     | #kappum# | #kˈapp# | #kapp# {GOLD: #keff#}
42     | #kabkabum# | #kəbkˈab# | #kəbkab# {GOLD: #kabkiːb#}
43     | #kuttaːnum# | #kəttˈaːn# | #kəttaːn# {GOLD: #kəttoːn#}
44     | #ɡildum# | #ɡˈild# | #ɡild# {GOLD: #ɡɛːd#}
45     | #jawmum# | #jˈawm# | #jawm# {GOLD: #juːm#}
46     | #jibakki# | #jəbˈakk# | #jəbakk# {GOLD: #jəbajk#}
47     | #jimallik# | #jəmˈallək# | #jəmallək# {GOLD: #jəmuːlək#}
48     | #sapila# | #səpˈil# | #səpil# {GOLD: #hoːfəl#}
49     | #sabatˀa# | #səbˈatˀ# | #səbatˀ# {GOLD: #səboːtˀ#}
50     | #sabʕum# | #sˈabʕ# | #sab# {GOLD: #hoːba#}
51     | #sabʕatum# | #səbʕˈat# | #səbaːt# {GOLD: #jəbˈajt#}
52     | #samiʕa# | #səmˈiʕ# | #səmi# {GOLD: #hiːma#}
53     | #sawqaʕa# | #səwqˈaʕ# | #səwqa# {GOLD: #həwqaː#}
54     | #suʔa# | #sˈu# | #su# {GOLD: #he#}
55     | #sumuː# | #sˈum# | #sum# {GOLD: #heːm#}
56     | #siʔa# | #sˈi# | #si# {GOLD: #seː#}
57     | #sidθum# | #sˈidθ# | #sidθ# {GOLD: #hətː#}
58     | #sidθˈatum# | #sədθˈat# | #sədθat# {GOLD: #jətˈiːt#}
59     | #sinaː# | #sˈin# | #sin# {GOLD: #seːn#}
60     | #sinatum# | #sənˈat# | #sənat# {GOLD: #ʃəneːt#}
61     | #simum# | #sˈim# | #sim# {GOLD: #ham#}
62     | #zaraqa# | #zərˈaq# | #zəraq# {GOLD: #zəroːq#}
63     | #zapana# | #zəpˈan# | #zəpan# {GOLD: #zəfoːn#}
64     | #zamanum# | #zəmˈan# | #zəman# {GOLD: #zəmoːn#}
65     | #tajsum# | #tˈajs# | #tajs# {GOLD: #tajh#}
